id,location,month,year,comp,heat,run 1,run 2,trick 1,trick 2,trick 3,trick 4,trick 5,trick 6
Berger,jacksonville,7,2022,prelim men,1,5.0,1.1,7.0,0.0,7.6,0.0,,
Papa,jacksonville,7,2022,prelim men,1,3.7,7.0,7.2,0.0,8.4,8.2,,
Pudwill,jacksonville,7,2022,prelim men,1,2.0,1.3,0.0,0.0,0.0,0.0,,
Shirai,jacksonville,7,2022,prelim men,1,7.9,7.0,7.5,0.0,9.2,0.0,,
Mota,jacksonville,7,2022,prelim men,1,3.8,4.0,7.8,0.0,0.0,0.0,,
Ribeiro G,jacksonville,7,2022,prelim men,2,8.1,5.7,0.0,8.8,8.1,0.0,,
Decenzo,jacksonville,7,2022,prelim men,2,4.6,5.0,7.8,0.0,0.0,0.0,,
Hoefler,jacksonville,7,2022,prelim men,2,7.9,6.9,0.0,6.7,0.0,0.0,,
Foy,jacksonville,7,2022,prelim men,2,5.4,4.9,8.0,8.3,8.8,0.0,,
Hoban,jacksonville,7,2022,prelim men,2,3.5,9.0,0.0,0.0,0.0,0.0,,
Midler,jacksonville,7,2022,prelim men,3,8.1,7.4,0.0,0.0,8.7,0.0,,
Milou,jacksonville,7,2022,prelim men,3,7.8,8.6,8.6,7.5,0.0,0.0,,
Rodriguez,jacksonville,7,2022,prelim men,3,7.0,5.5,7.0,0.0,8.3,0.0,,
O’neill,jacksonville,7,2022,prelim men,3,8.7,0.9,8.3,0.0,8.5,0.0,,
Oliveira,jacksonville,7,2022,prelim men,3,8.4,4.7,0.0,0.0,0.0,8.0,,
Ribeiro C,jacksonville,7,2022,prelim men,4,6.9,6.6,7.9,0.0,0.0,0.0,,
Gustavo,jacksonville,7,2022,prelim men,4,8.4,1.2,8.3,7.4,8.3,0.0,,
Huston,jacksonville,7,2022,prelim men,4,7.8,8.6,8.6,8.8,0.0,0.0,,
Santiago,jacksonville,7,2022,prelim men,4,5.5,4.1,0.0,0.0,0.0,0.0,,
Joslin,jacksonville,7,2022,prelim men,4,6.8,7.9,0.0,8.5,0.0,0.0,,
Jordan,jacksonville,7,2022,prelim men,5,7.3,9.0,0.0,0.0,8.8,7.0,,
Horigome,jacksonville,7,2022,prelim men,5,7.4,7.6,8.8,0.0,8.4,9.5,,
Suciu,jacksonville,7,2022,prelim men,5,3.1,6.5,8.6,7.6,0.0,7.2,,
Wair,jacksonville,7,2022,prelim men,5,3.7,7.9,0.0,0.0,8.4,6.3,,
Wright,jacksonville,7,2022,prelim men,5,3.0,2.8,0.0,0.0,7.2,0.0,,
Shirai,jacksonville,7,2022,final men,1,9.1,9.2,9.6,9.0,0.0,0.0,0.0,0.0
Milou,jacksonville,7,2022,final men,1,4.0,6.8,8.6,0.0,0.0,7.5,8.3,0.0
Jordan,jacksonville,7,2022,final men,1,7.0,9.0,0.0,0.0,0.0,8.8,,
Ribeiro G,jacksonville,7,2022,final men,1,6.7,9.1,8.7,0.0,9.3,0.0,0.0,0.0
Gustavo,jacksonville,7,2022,final men,1,1.6,8.9,0.0,0.0,0.0,0.0,,
O’neill,jacksonville,7,2022,final men,1,6.9,7.5,8.5,0.0,0.0,0.0,,
Horigome,jacksonville,7,2022,final men,1,6.3,9.1,9.5,0.0,9.5,0.0,0.0,0.0
Huston,jacksonville,7,2022,final men,1,5.5,9.1,0.0,0.0,0.0,9.2,,
Majerus,seattle,8,2022,prelim men,1,4.0,0.9,7.9,0.0,0.0,3.6,,
Silvas,seattle,8,2022,prelim men,1,6.2,0.2,8.1,8.3,0.0,0.0,,
Fynn,seattle,8,2022,prelim men,1,5.9,6.8,8.8,9.0,0.0,0.0,,
Mota,seattle,8,2022,prelim men,2,8.1,3.8,0.0,8.7,0.0,0.0,,
Hoefler,seattle,8,2022,prelim men,2,6.8,7.1,8.5,0.0,0.0,7.5,,
Shirai,seattle,8,2022,prelim men,2,6.3,6.7,0.0,0.0,9.3,9.3,,
Pudwill,seattle,8,2022,prelim men,2,1.8,2.1,0.0,0.0,0.0,5.5,,
Berger,seattle,8,2022,prelim men,2,2.2,4.2,0.0,0.0,0.0,0.0,,
Papa,seattle,8,2022,prelim men,2,7.2,3.5,8.9,0.0,0.0,0.0,,
Milou,seattle,8,2022,prelim men,3,6.8,7.4,0.0,8.8,9.0,0.0,,
Decenzo,seattle,8,2022,prelim men,3,8.3,5.8,8.6,0.0,7.8,0.0,,
Jordan,seattle,8,2022,prelim men,3,8.4,8.6,8.4,0.0,9.0,0.0,,
Ribeiro G,seattle,8,2022,prelim men,3,7.5,6.9,9.2,0.0,0.0,8.6,,
Midler,seattle,8,2022,prelim men,3,8.0,0.1,7.9,0.0,0.0,8.4,,
Suciu,seattle,8,2022,prelim men,3,7.9,8.5,7.8,7.2,0.0,0.0,,
Foy,seattle,8,2022,prelim men,4,4.5,5.9,0.0,9.0,9.0,0.0,,
Gustavo,seattle,8,2022,prelim men,4,7.7,8.2,7.7,0.0,8.8,0.0,,
Oliveira,seattle,8,2022,prelim men,4,4.8,7.2,0.0,0.0,8.2,8.1,,
Horigome,seattle,8,2022,prelim men,4,8.2,8.7,8.7,0.0,8.3,0.0,,
Santiago,seattle,8,2022,prelim men,5,1.9,3.9,0.0,0.0,0.0,0.0,,
Hoban,seattle,8,2022,prelim men,5,7.5,6.8,8.2,9.2,0.0,0.0,,
Ribeiro C,seattle,8,2022,prelim men,5,7.2,7.6,8.0,0.0,0.0,0.0,,
Joslin,seattle,8,2022,prelim men,5,4.8,8.5,8.4,8.5,0.0,0.0,,
Decenzo,seattle,8,2022,final men,1,6.9,8.5,8.7,0.0,9.3,0.0,0.0,0.0
Hoban,seattle,8,2022,final men,1,4.1,7.8,9.1,8.9,0.0,0.0,,
Milou,seattle,8,2022,final men,1,9.2,5.3,8.6,9.0,0.0,0.0,9.3,0.0
Shirai,seattle,8,2022,final men,1,4.7,4.7,9.3,0.0,0.0,0.0,,
Ribeiro G,seattle,8,2022,final men,1,7.5,8.3,0.0,9.2,0.0,0.0,,
Joslin,seattle,8,2022,final men,1,7.3,8.8,0.0,8.6,8.5,0.0,0.0,9.2
Horigome,seattle,8,2022,final men,1,9.0,7.3,9.5,0.0,9.1,0.0,0.0,0.0
Jordan,seattle,8,2022,final men,1,7.7,6.6,9.0,0.0,9.0,0.0,,
McClung,las vegas,10,2022,prelim men,1,3.1,3.0,4.5,0.0,0.0,0.0,,
Mota,las vegas,10,2022,prelim men,1,3.4,5.1,6.9,0.0,0.0,0.0,,
Pudwill,las vegas,10,2022,prelim men,1,2.7,4.4,5.6,0.0,0.0,7.0,,
Silvas,las vegas,10,2022,prelim men,1,6.8,5.8,8.0,0.0,0.0,0.0,,
Decenzo,las vegas,10,2022,prelim men,1,3.1,5.4,0.0,8.6,7.1,0.0,,
Midler,las vegas,10,2022,prelim men,1,6.3,6.8,0.0,7.3,0.0,0.0,,
Eaton,las vegas,10,2022,prelim men,2,7.5,7.9,7.5,8.4,7.7,0.0,,
Ribeiro G,las vegas,10,2022,prelim men,2,8.0,8.2,0.0,9.1,8.3,7.7,,
Papa,las vegas,10,2022,prelim men,2,7.8,1.3,7.3,0.0,6.5,0.0,,
Ribeiro C,las vegas,10,2022,prelim men,2,1.4,2.8,7.4,0.0,0.0,0.0,,
Fynn,las vegas,10,2022,prelim men,2,6.0,2.9,0.0,7.6,8.6,0.0,,
Santiago,las vegas,10,2022,prelim men,3,6.1,1.4,4.7,0.0,0.0,0.0,,
Joslin,las vegas,10,2022,prelim men,3,7.0,8.2,8.1,0.0,8.3,0.0,,
Milou,las vegas,10,2022,prelim men,3,6.9,7.0,8.3,0.0,0.0,0.0,,
Hoefler,las vegas,10,2022,prelim men,3,8.5,0.3,7.3,0.0,7.8,0.0,,
Hoban,las vegas,10,2022,prelim men,3,5.1,4.6,8.6,8.8,0.0,0.0,,
Berger,las vegas,10,2022,prelim men,4,6.1,4.1,0.0,0.0,0.0,0.0,,
Majerus,las vegas,10,2022,prelim men,4,6.9,4.8,4.0,0.0,0.0,0.0,,
Oliveira,las vegas,10,2022,prelim men,4,5.0,4.2,0.0,7.1,8.3,0.0,,
Jordan,las vegas,10,2022,prelim men,4,2.6,8.4,0.0,0.0,0.0,9.1,,
O’neill,las vegas,10,2022,prelim men,4,1.1,1.9,0.0,0.0,0.0,0.0,,
Rodriguez,las vegas,10,2022,prelim men,5,4.7,2.1,7.3,0.0,7.4,0.0,,
Gustavo,las vegas,10,2022,prelim men,5,5.9,6.2,8.0,0.0,7.6,0.0,,
Shirai,las vegas,10,2022,prelim men,5,6.5,0.4,0.0,8.6,0.0,0.0,,
Foy,las vegas,10,2022,prelim men,5,1.0,6.0,7.9,0.0,0.0,0.0,,
Papa,las vegas,10,2022,final men,1,3.8,6.6,0.0,0.0,8.0,0.0,,
Gustavo,las vegas,10,2022,final men,1,2.8,8.0,8.0,0.0,0.0,0.0,,
Fynn,las vegas,10,2022,final men,1,3.6,3.8,0.0,7.4,0.0,8.2,,
Hoban,las vegas,10,2022,final men,1,6.2,8.8,8.6,0.0,8.8,0.0,0.0,0.0
Hoefler,las vegas,10,2022,final men,1,8.4,5.7,7.8,0.0,8.7,0.0,0.0,0.0
Eaton,las vegas,10,2022,final men,1,6.9,7.2,0.0,8.4,7.5,0.0,,
Joslin,las vegas,10,2022,final men,1,6.8,8.3,7.9,8.3,0.0,0.0,8.9,9.4
Ribeiro G,las vegas,10,2022,final men,1,8.5,3.0,0.0,9.2,8.8,9.2,0.0,1.7
