id,location,month,year,comp,heat,run 1,run 2,trick 1,trick 2,trick 3,trick 4,trick 5,trick 6,make 1,make 2,make 3,make 4,total_made,total_attempted,theta_i,theta_average,alpha,beta
Berger,jacksonville,7,2022,prelim men,0.1,0.5,0.11,0.7,0.0,0.76,0.0,,,1,0,1,0,2,4,0.5,0.16667,46.6913,-1.53606
Papa,jacksonville,7,2022,prelim men,0.1,0.37,0.7,0.72,0.0,0.84,0.82,,,1,0,1,1,3,4,0.75,0.4375,21.10088,16.69507
Pudwill,jacksonville,7,2022,prelim men,0.1,0.2,0.13,0.0,0.0,0.0,0.0,,,0,0,0,0,0,4,0.0,0.25,,
Shirai,jacksonville,7,2022,prelim men,0.1,0.79,0.7,0.75,0.0,0.92,0.0,,,1,0,1,0,2,4,0.5,0.4,46.75093,1.56438
Mota,jacksonville,7,2022,prelim men,0.1,0.38,0.4,0.78,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.25,68.55471,22.95933
Ribeiro G,jacksonville,7,2022,prelim men,0.2,0.81,0.57,0.0,0.88,0.81,0.0,,,0,1,1,0,2,4,0.5,0.54167,46.4175,30.50484
Decenzo,jacksonville,7,2022,prelim men,0.2,0.46,0.5,0.78,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.4375,68.55471,22.95933
Hoefler,jacksonville,7,2022,prelim men,0.2,0.79,0.69,0.0,0.67,0.0,0.0,,,0,1,0,0,1,4,0.25,0.4375,69.70589,-0.94452
Foy,jacksonville,7,2022,prelim men,0.2,0.54,0.49,0.8,0.83,0.88,0.0,,,1,1,1,0,3,4,0.75,0.5,27.78698,-16.67872
Hoban,jacksonville,7,2022,prelim men,0.2,0.35,0.9,0.0,0.0,0.0,0.0,,,0,0,0,0,0,4,0.0,0.4,,
Midler,jacksonville,7,2022,prelim men,0.3,0.81,0.74,0.0,0.0,0.87,0.0,,,0,0,1,0,1,4,0.25,0.33333,69.69163,-7.1824
Milou,jacksonville,7,2022,prelim men,0.3,0.78,0.86,0.86,0.75,0.0,0.0,,,1,1,0,0,2,4,0.5,0.45,47.20794,1.50567
Rodriguez,jacksonville,7,2022,prelim men,0.3,0.7,0.55,0.7,0.0,0.83,0.0,,,1,0,1,0,2,4,0.5,0.5,51.21468,-9.0776
O’neill,jacksonville,7,2022,prelim men,0.3,0.87,0.09,0.83,0.0,0.85,0.0,,,1,0,1,0,2,4,0.5,0.25,48.35888,-4.56089
Oliveira,jacksonville,7,2022,prelim men,0.3,0.84,0.47,0.0,0.0,0.0,0.8,,,0,0,0,1,1,4,0.25,0.41667,72.52862,1.49974
Ribeiro C,jacksonville,7,2022,prelim men,0.4,0.69,0.66,0.79,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.25,69.71689,-4.60273
Gustavo,jacksonville,7,2022,prelim men,0.4,0.84,0.12,0.83,0.74,0.83,0.0,,,1,1,1,0,3,4,0.75,0.4,25.62234,-0.98493
Huston,jacksonville,7,2022,prelim men,0.4,0.78,0.86,0.86,0.88,0.0,0.0,,,1,1,0,0,2,4,0.5,0.375,47.08721,4.47196
Santiago,jacksonville,7,2022,prelim men,0.4,0.55,0.41,0.0,0.0,0.0,0.0,,,0,0,0,0,0,4,0.0,0.08333,,
Joslin,jacksonville,7,2022,prelim men,0.4,0.68,0.79,0.0,0.85,0.0,0.0,,,0,1,0,0,1,4,0.25,0.45,70.40628,-7.59117
Jordan,jacksonville,7,2022,prelim men,0.5,0.73,0.9,0.0,0.0,0.88,0.7,,,0,0,1,1,2,4,0.5,0.4,46.46812,-1.53191
Horigome,jacksonville,7,2022,prelim men,0.5,0.74,0.76,0.88,0.0,0.84,0.95,,,1,0,1,1,3,4,0.75,0.5625,24.44806,3.16393
Suciu,jacksonville,7,2022,prelim men,0.5,0.31,0.65,0.86,0.76,0.0,0.72,,,1,1,0,1,3,4,0.75,0.625,24.98679,-4.09474
Wair,jacksonville,7,2022,prelim men,0.5,0.37,0.79,0.0,0.0,0.84,0.63,,,0,0,1,1,2,4,0.5,0.5,45.13229,8.79261
Wright,jacksonville,7,2022,prelim men,0.5,0.3,0.28,0.0,0.0,0.72,0.0,,,0,0,1,0,1,4,0.25,0.25,71.04,-10.41657
Shirai,jacksonville,7,2022,final men,0.1,0.91,0.92,0.96,0.9,0.0,0.0,0.0,0.0,1,1,0,0,2,4,0.5,0.4,46.39781,-0.24756
Milou,jacksonville,7,2022,final men,0.1,0.4,0.68,0.86,0.0,0.0,0.75,0.83,0.0,1,0,0,1,2,4,0.5,0.45,47.20794,1.50567
Jordan,jacksonville,7,2022,final men,0.1,0.7,0.9,0.0,0.0,0.0,0.88,,,0,0,0,1,1,4,0.25,0.4,69.7097,-2.9302
Ribeiro G,jacksonville,7,2022,final men,0.1,0.67,0.91,0.87,0.0,0.93,0.0,0.0,0.0,1,0,1,0,2,4,0.5,0.54167,45.81816,2.61209
Gustavo,jacksonville,7,2022,final men,0.1,0.16,0.89,0.0,0.0,0.0,0.0,,,0,0,0,0,0,4,0.0,0.4,,
O’neill,jacksonville,7,2022,final men,0.1,0.69,0.75,0.85,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.25,70.40628,-7.59117
Horigome,jacksonville,7,2022,final men,0.1,0.63,0.91,0.95,0.0,0.95,0.0,0.0,0.0,1,0,1,0,2,4,0.5,0.5625,46.57708,9.07381
Huston,jacksonville,7,2022,final men,0.1,0.55,0.91,0.0,0.0,0.0,0.92,,,0,0,0,1,1,4,0.25,0.375,69.25608,1.98397
Majerus,seattle,8,2022,prelim men,0.1,0.4,0.09,0.79,0.0,0.0,0.36,,,1,0,0,1,2,4,0.5,0.375,46.47206,-2.11448
Silvas,seattle,8,2022,prelim men,0.1,0.62,0.02,0.81,0.83,0.0,0.0,,,1,1,0,0,2,4,0.5,0.375,47.05152,3.20282
Fynn,seattle,8,2022,prelim men,0.1,0.59,0.68,0.88,0.9,0.0,0.0,,,1,1,0,0,2,4,0.5,0.5,45.59939,1.97295
